Team,unique_id,Arena,Capacity,City,State,Latitude,Longitude,Logos
Morgan St.,190,Talmadge L. Hill Field House,4250,Baltimore,MD,39.342988,-76.583966,Logos/Morgan St..gif
Mount St. Mary's,192,PNC Sports Complex,3121,Emmitsburg,MD,39.680122,-77.343412,Logos/Mount St. Mary's.gif
Murray St.,193,CFSB Center,8602,Murray,KY,36.623421,-88.31833,Logos/Murray St..gif
N.C. State,194,PNC Arena,19557,Raleigh,NC,35.804338,-78.722059,Logos/N.C. State.gif
Navy,195,Alumni Hall,5710,Annapolis,MD,38.985016,-76.485547,Logos/Navy.gif
Nebraska,196,Pinnacle Bank Arena,15147,Lincoln,NE,40.818678,-96.710645,Logos/Nebraska.gif
Nebraska Omaha,197,Baxter Arena,7500,Omaha,NE,41.236992,-96.011017,Logos/Nebraska Omaha.gif
Nevada,198,Lawlor Events Center,11536,Reno,NV,39.54596,-119.816283,Logos/Nevada.gif
New Hampshire,199,Lundholm Gym,3500,Durham,NH,43.139439,-70.935501,Logos/New Hampshire.gif
New Mexico,200,"Dreamstyle Arena ""The Pit""",15411,Albuquerque,NM,35.067737,-106.629558,Logos/New Mexico.gif
New Mexico St.,201,Pan American Center,12482,Las Cruces,NM,32.283965,-106.738952,Logos/New Mexico St..gif
New Orleans,202,Lakefront Arena,8933,New Orleans,LA,30.031661,-90.04796,Logos/New Orleans.gif
Niagara,203,Gallagher Center,2400,Lewiston,NY,43.138316,-79.035741,Logos/Niagara.gif
Nicholls St.,204,Stopher Gymnasium,3800,Thibodaux,LA,29.793326,-90.799322,Logos/Nicholls St..gif
NJIT,205,Wellness and Events Center,3500,Newark,NJ,40.742999,-74.179155,Logos/NJIT.gif
Norfolk St.,206,Joseph G. Echols Memorial Hall,7000,Norfolk,VA,36.848862,-76.255579,Logos/Norfolk St..gif
North Alabama,207,Flowers Hall,3900,Florence,AL,34.809104,-87.682181,Logos/North Alabama.gif
North Carolina,208,Dean Smith Center,21750,Chapel Hill,NC,35.90004,-79.041513,Logos/North Carolina.gif
North Carolina A&T,209,Corbett Sports Center,5700,Greensboro,NC,36.077274,-79.767468,Logos/North Carolina A&T.gif
North Carolina Central,210,McDougald-McLendon Arena,3056,Durham,NC,35.977011,-78.895653,Logos/North Carolina Central.gif
North Dakota,211,Betty Engelstad Sioux Center,3300,Grand Forks,ND,47.928314,-97.071356,Logos/North Dakota.gif
North Dakota St.,212,Scheels Center,5700,Fargo,ND,46.904888,-96.795256,Logos/North Dakota St..gif
North Florida,213,UNF Arena,5800,Jacksonville,FL,30.274177,-81.504973,Logos/North Florida.gif
North Texas,214,UNT Coliseum,10032,Denton,TX,33.209348,-97.151574,Logos/North Texas.gif
Northeastern,215,Matthews Arena,6000,Boston,MA,42.342004,-71.08311,Logos/Northeastern.gif
Northern Arizona,216,Walkup Skydome,11230,Flagstaff,AZ,35.181266,-111.650836,Logos/Northern Arizona.gif
Northern Colorado,217,Bank of Colorado Arena,2992,Greeley,CO,40.403034,-104.700082,Logos/Northern Colorado.gif
Northern Illinois,218,Convocation Center,10000,DeKalb,IL,41.936215,-88.783292,Logos/Northern Illinois.gif
Northern Iowa,219,McLeod Center,6650,Cedar Falls,IA,42.514903,-92.464138,Logos/Northern Iowa.gif
Northern Kentucky,220,BB&T Arena,9400,Highland Heights,KY,39.032328,-84.457556,Logos/Northern Kentucky.gif
Northwestern,221,Welsh-Ryan Arena,7039,Evanston,IL,42.067706,-87.689506,Logos/Northwestern.gif
Northwestern St.,222,Prather Coliseum,3900,Natchitoches,LA,31.745267,-93.093321,Logos/Northwestern St..gif
Notre Dame,223,Edmund P. Joyce Center,9149,Notre Dame,IN,41.697893,-86.229725,Logos/Notre Dame.gif
Oakland,224,Athletics Center O'rena,4005,Rochester,MI,42.674217,-83.212358,Logos/Oakland.gif
Ohio,225,Convocation Center,13080,Athens,OH,39.323637,-82.102971,Logos/Ohio.gif
Ohio St.,226,Value City Arena,18809,Columbus,OH,40.00812,-83.02424,Logos/Ohio St..gif
Oklahoma,227,Lloyd Noble Center,11528,Norman,OK,35.188242,-97.440711,Logos/Oklahoma.gif
Oklahoma St.,228,Gallagher-Iba Arena,13611,Stillwater,OK,36.126458,-97.063413,Logos/Oklahoma St..gif
Old Dominion,229,Ted Constant Convocation Center,8472,Norfolk,VA,36.885029,-76.300777,Logos/Old Dominion.gif
Oral Roberts,230,Mabee Center,10554,Tulsa,OK,36.0487,-95.95374,Logos/Oral Roberts.gif
Oregon,231,Matthew Knight Arena,12369,Eugene,OR,44.045752,-123.065581,Logos/Oregon.gif
Oregon St.,232,Gill Coliseum,9604,Corvallis,OR,44.562005,-123.279926,Logos/Oregon St..gif
Pacific,233,Alex G. Spanos Center,6150,Stockton,CA,37.97778,-121.313633,Logos/Pacific.gif
Penn,234,Palestra,8722,Philadelphia,PA,39.952345,-75.187545,Logos/Penn.gif
Penn St.,235,Bryce Jordan Center,15261,State College,PA,40.80978,-77.854748,Logos/Penn St..gif
Pepperdine,236,Firestone Fieldhouse,3104,Malibu,CA,34.039515,-118.704545,Logos/Pepperdine.gif
Pittsburgh,237,Petersen Events Center,12508,Pittsburgh,PA,40.444448,-79.960653,Logos/Pittsburgh.gif
Portland,238,Chiles Center,4852,Portland,OR,45.575694,-122.727167,Logos/Portland.gif
Portland St.,239,Viking Pavilion,3094,Portland,OR,45.511508,-122.685501,Logos/Portland St..gif
Prairie View A&M,240,William J. Nicks Building,6500,Prairie View,TX,30.092772,-95.991511,Logos/Prairie View A&M.gif
Presbyterian,241,Templeton Physical Education Center,2300,Clinton,SC,34.465819,-81.867269,Logos/Presbyterian.gif
Princeton,242,Jadwin Gymnasium,6854,Princeton,NJ,40.344208,-74.648454,Logos/Princeton.gif
Providence,243,Dunkin' Donuts Center,12400,Providence,RI,41.824171,-71.415896,Logos/Providence.gif
Purdue,244,Mackey Arena,14848,West Lafayette,IN,40.434072,-86.913921,Logos/Purdue.gif
Purdue Fort Wayne,245,Hilliard Gates Sports Center,2300,Fort Wayne,IN,41.120312,-85.105503,Logos/Purdue Fort Wayne.gif
Quinnipiac,246,People's United Center,3570,Hamden,CT,41.415207,-72.910704,Logos/Quinnipiac.gif
Radford,247,Dedmon Center,3205,Radford,VA,37.139078,-80.54097,Logos/Radford.gif
Rhode Island,248,Ryan Center,7657,Kingston,RI,41.4902,-71.529085,Logos/Rhode Island.gif
Rice,249,Tudor Fieldhouse,5750,Houston,TX,29.716201,-95.402342,Logos/Rice.gif
Richmond,250,Robins Center,7201,Richmond,VA,37.581197,-77.538966,Logos/Richmond.gif
